菜名,口味,主料,辅料,调料,链接
广式生滚汤 | 猪湿粉肠瘦肉芥菜汤,清淡,猪肝 500g，猪肉 250g，粉肠 250g,芥菜 500g,鸡精 适量，胡椒粉 适量，白酒 2勺，姜片 5片，椒盐 适量，生粉 适量，花生油 适量,https://home.meishichina.com/recipe-650323.html
虎皮凤爪,咸甜,鸡爪 12只,葱 适量，姜 适量,海鲜酱 适量，柱候酱 适量，蚝油 适量,https://home.meishichina.com/recipe-621768.html
腊肠煲仔饭,麻辣,麻辣香肠 2条，五常大米 3杯,清水 4.5杯，玉米粒 适量，植物油 适量,生抽 适量，植物油 适量,https://home.meishichina.com/recipe-620605.html
碌鸭,咸甜,鸭子 1只,香葱 三根，姜 1块，料酒 20ml，洋葱头 五个，米酒 20ml,东古海鲜酱油 50ml，糖色 1勺，冰糖 2块，炖肉料包 1个，花生油 20ml，葱油 20ml,https://home.meishichina.com/recipe-620611.html
豉油皇鸭肠,咸鲜,鸭肠 1斤,韭黄 少许，红辣椒 少许,米酒 少许，酱油 少许，老抽 少许,https://home.meishichina.com/recipe-620264.html
蚝油生菜（白灼生菜）,咸鲜,生菜 适量,蒜 适量,蒸鱼豉油 适量，香油 适量,https://home.meishichina.com/recipe-619603.html
竹荪猪肚鸡,其他,猪肚 半个，鸡 半只,竹荪 适量,盐 适量，白胡椒粉 适量,https://home.meishichina.com/recipe-619568.html
广式叉烧肉,酱香,五花肉 460克,无,陈皮 少许，蒜头 3瓣，香叶 3片，料酒 2勺，生抽 2勺，蚝油 半勺，食盐 1小勺，白糖 3小勺，麦芽糖 1勺,https://home.meishichina.com/recipe-617793.html
虎皮凤爪,五香,鸡爪 500克,花生米 适量，葱 适量，大料 5个，陈皮 10克，姜 适量,油 适量，盐 10克，白糖 3克，老抽 5克，陈醋 适量,https://home.meishichina.com/recipe-618917.html
腊肠窝蛋煲仔饭,咸鲜,广式腊肠 适量，丝苗香米 两杯，鸡蛋 一个,芥兰 适量,无,https://home.meishichina.com/recipe-618366.html
广式腊味煲仔饭,五香,广式腊肠 三根，大米 300g,黄心菜 一棵，油炸豆腐 一片，红萝卜 半个，香菇 两朵，纯净水 适量,生抽 少许，盐 少许,https://home.meishichina.com/recipe-618229.html
香肠煲仔饭,咸香,米 适量,香肠 适量，菜 适量，香菇 适量,盐 适量，油 适量,https://home.meishichina.com/recipe-617590.html
蒜香广东菜心,咸鲜,广东菜心 适量,蒜瓣 适量，盐 适量，鲜酱油 适量,无,https://home.meishichina.com/recipe-613787.html
广东名菜-生炒菜心,蒜香,菜心 适量，五花肉 适量，蒜 3-5瓣,料酒 适量，蚝油 适量，生抽 适量,糖 适量，盐 适量,https://home.meishichina.com/recipe-615820.html
猪脚姜,甜香,猪脚 半个，鸡蛋 8个,生姜 适量,甜醋 1.5瓶,https://home.meishichina.com/recipe-598417.html
广式辣肠焖饭,咸鲜,广式腊肠 1根，大米 适量,土豆 1颗，胡萝卜 1根，花生油 1勺，姜末 少许,生抽 1匙，醋 1匙，盐 适量,https://home.meishichina.com/recipe-614563.html
仔姜焖鸭,原味,鸭肉 适量，仔姜 适量,生姜 适量，香葱 适量,生抽 适量，蚝油 适量，花生油 适量,https://home.meishichina.com/recipe-598238.html
盐焗鸡,咸香,清远鸡 半只,盐焗鸡粉 适量,花生油 适量，盐 少许,https://home.meishichina.com/recipe-614354.html
腊味煲仔饭（家庭版）,咸香,大米 2杯，腊肉 一小块，腊肠 半根,鸡蛋 一个，生菜 几片,花生油 1勺，酱油 1勺，蚝油 1勺，开水 1勺,https://home.meishichina.com/recipe-614121.html
虎皮凤爪,咸香,凤爪 500g，花生米 100g,蒜米 适量，姜 适量，干葱 1个，干辣椒 2个,油 适量，酱油 适量，料酒 适量，豆瓣酱 1勺，桂皮 1块，八角 1个，香叶 2片，花椒 少量，草果 1个，冰糖 2块，胡椒粉 1匙，鸡精 少许,https://home.meishichina.com/recipe-614074.html
猪肚鸡🌯🍱🥘,咸鲜,鸡 半只切块，即食猪肚 1袋,新鲜天麻 100g切片，白萝卜 200g切片,料酒 1勺,https://home.meishichina.com/recipe-613239.html
五指毛桃排骨汤,原味,五指毛桃 1扎，土茯苓干 10来片，排骨 500g，莲子 手抓1把,蜜枣 2-3粒,盐 适量,https://home.meishichina.com/recipe-612215.html
腊味煲仔饭,原味,大米 适量，腊肠 适量，鸡蛋 适量,青菜 适量,煲仔饭酱油 适量,https://home.meishichina.com/recipe-612059.html
猪肉香葱炒河粉,咸香,猪肉 少许，河粉 250克,香葱 少许,无,https://home.meishichina.com/recipe-610226.html
白灼菜心,原味,菜心 1把,无,盐 适量，食用油 适量，蒜末 适量，葱丝 适量,https://home.meishichina.com/recipe-608716.html
猪脚姜,酸甜,猪蹄 500g，生姜 300g，鸡蛋 5只,无,无,https://home.meishichina.com/recipe-606546.html
复刻粤菜虾仁滑蛋,咸鲜,虾仁 12个，鸡蛋 3个,小葱 1颗，玉米淀粉 2勺,盐 少许，白胡椒粉 1g，料酒 1勺,https://home.meishichina.com/recipe-608503.html
腊味煲仔饭（电饭锅版）,咸甜,大米 适量，腊肉 适量，腊肠 适量,油菜 适量,生抽 适量，蚝油 适量，白砂糖 适量，水 适量,https://home.meishichina.com/recipe-608334.html
叉烧包,咸甜,面粉 300g，冷水 155g，酵母 3g，猪瘦肉 适量，猪梅花肉 适量,无,麦芽糖 2勺，生抽 2勺，蚝油 2勺，鱼露 2勺，红曲粉 适量,https://home.meishichina.com/recipe-608076.html
白切鸡,葱香,鸡 1只,沙姜粉 盐焗鸡粉，适量,姜 适量，葱 适量，盐 适量,https://home.meishichina.com/recipe-607572.html
白灼菜心,蒜香,菜心 250g,红尖椒 1个，大蒜 1头,蚝油 1匙，蒸鱼豉油 1匙，食盐 5g，鸡精 5g，白糖 10g，水淀粉 1勺,https://home.meishichina.com/recipe-607768.html
炒河粉,咸香,宽河粉 适量,绿豆芽 适量，牛肉 适量，胡萝卜丝 适量，海帶丝 适量,生抽 1勺，腐乳 半块，蚝油 1勺,https://home.meishichina.com/recipe-607456.html
秋天的第一碗——电饭锅煲仔饭,咸鲜,大米 适量，腊肠 2根，香菇 适量,青菜 适量，香菇 适量，鸡蛋 1个,生抽 2勺，老抽 1勺，香油 1勺，白糖 半勺,https://home.meishichina.com/recipe-607132.html
姜蓉鸡,咸香,清远鸡 半只,姜蓉 适量,油 适量，酱油 适量，糖 少许,https://home.meishichina.com/recipe-607089.html
酸梅鸭,酸甜,鸭肉 适量,咸酸梅 适量(自制)，姜 适量，香叶 少许，八角 少许，红葱头 适量,油 适量，酱油 适量，糖 适量,https://home.meishichina.com/recipe-607086.html
酱油鸡,咸香,清远鸡 半只,红葱头 适量，姜 适量，蒜头 适量,油 适量，酱油 适量，糖 少许,https://home.meishichina.com/recipe-607083.html
盐焗鸡,咸香,三黄鸡 2斤,葱 一根，姜 一小块,盐焗鸡粉 一包,https://home.meishichina.com/recipe-607032.html
电饭锅盐焗豉油鸡,咸鲜,鸡 1只（净重约1800克）,盐焗鸡粉 1包，生抽 2大勺，老抽 2大勺，蚝油 1小勺，姜 300克，料酒 3小勺，香油 1小勺，葱 3根，香菜 2棵,无,https://home.meishichina.com/recipe-606110.html
潮汕特色美食生腌血蛤,咸鲜,血蛤 ，500g,蒜蓉 适量，小米辣 适量，姜 适量，香菜 适量,白砂糖 适量，醋 适量，盐 适量，酱油 适量,https://home.meishichina.com/recipe-605883.html
清炒菜心,清淡,广东菜心 500g,蒜头 3瓣，红椒 1个,花生油 适量，盐 1匙，鸡精 半匙，蚝油 1勺,https://home.meishichina.com/recipe-605219.html
潮汕生蚝花甲酸菜开胃汤,酸咸,生蚝 250g,花甲 10个，酸菜 适量，芹菜 适量，姜片 1片,盐 5g，食用油 1勺,https://home.meishichina.com/recipe-605167.html
叉烧,酱香,五花肉 适量,卤料 适量,酱油 适量，蜂蜜 适量,https://home.meishichina.com/recipe-604599.html
奶黄包,甜味,面粉 300克，奶黄馅 200克,酵母 2~3克，水 160克,白糖 3克,https://home.meishichina.com/recipe-604695.html
卤菜肠粉,原味,米 60克，卤菜 适量,清水 150ml,酱油 适量,https://home.meishichina.com/recipe-604465.html
广式生滚牛肉粥,清淡,珍妮妈妈清汤鲜炖牛肉粒 1盒，大米 200g,小葱 适量，姜丝 适量，水 300ml,油 1小勺，盐 适量,https://home.meishichina.com/recipe-603469.html
奶黄包,甜香,奶黄包 (速食冻品)4个,无,无,https://home.meishichina.com/recipe-603419.html
盐焗鸡,咸鲜,鸡边腿 2个,生姜 4片，洋葱 半个，盐焗粉 1包，食用油 15克,无,https://home.meishichina.com/recipe-602579.html
停不下来的美味—腊味煲仔饭！,咸香,腊肉 80g，腊肠 70g，青菜 适量，大自然大米 300g,油 2勺，生抽 2勺，耗油 1勺，白糖 半勺,无,https://home.meishichina.com/recipe-601350.html
鸡杂炒粉丝,咸鲜,鸡杂 适量，龙口粉丝 2扎，小菜心 适量,蒜蓉 适量，姜丝 适量,油 适量，广东米酒 适量，盐 适量，生抽 适量,https://home.meishichina.com/recipe-600735.html
粉角,孜然,肠粉 1盒，猪肉 250g,冬瓜 1截,食盐 适量，孜然粉 少许，蚝油 2匙，酱油 2匙，生粉 1匙，食用油 适量,https://home.meishichina.com/recipe-600239.html
叉烧肉,咸甜,梅花肉 1000g,大葱 适量，姜 适量,叉烧酱 120g，料酒 3匙，蚝油 3匙，蜂蜜 1匙,https://home.meishichina.com/recipe-599574.html
水晶饺子,咸香,澄面 100克，生粉 50克,开水 150克，猪油 10克，盐 1克，馅料 适量,无,https://home.meishichina.com/recipe-599309.html
煲仔饭,其他,米 适量,腊肉 1小块，玉米 1小块，胡萝卜 1小块，新鲜豌豆 1把，葱 1根,香油 适量，蚝油 适量，生抽 适量,https://home.meishichina.com/recipe-599117.html
蚝油蒜蓉生菜,咸鲜,圆生菜 1颗,大蒜 8粒,蚝油 1.5勺，干红椒 少许，水淀粉 半小碗,https://home.meishichina.com/recipe-598909.html
芋头糕,咸鲜,芋头 半个，粘米粉 适量,虾米 适量，干贝 适量，腊肠 适量，腊肉 适量,油 适量，酱油 适量，葱花 适量，蚝油 适量，白芝麻 适量，胡椒粉 适量,https://home.meishichina.com/recipe-587039.html
鸡蛋肠粉,咸香,肠粉专用粉 100g，清水 230g,鸡蛋 2个,生抽 适量，猪油 适量,https://home.meishichina.com/recipe-597665.html
美味煲仔饭,咸香,大米 300g,青红椒 适量，腊肠 3小段，土豆丁 适量,蚝油 1勺，生抽 1勺,https://home.meishichina.com/recipe-597647.html
奶黄包,奶香,面粉 300g,无,砂糖 20g，酵母 3g，水 150g,https://home.meishichina.com/recipe-597206.html
真滋味-咕咾肉,酸甜,真滋味咕咾肉 一包,无,糖醋汁 一包,https://home.meishichina.com/recipe-597145.html
荷香糯米鸡,酸咸,鸡腿肉 250~300克，广式腊肠 一根，糯米 500克,香菇 6克，海米 10克，荷叶 3~4张，姜丝 3克,酱油 30毫升，老抽 5毫升，香油 8毫升，蚝油 13毫升，胡椒粉 1克，盐 2克，淀粉 7克，咸鸭蛋 1个,https://home.meishichina.com/recipe-597144.html
蜜汁叉烧,咸甜,猪里脊 1条,生姜 6片,李锦记叉烧酱 3匙，料酒 1瓶盖，蚝油 1匙，食盐 适量，红曲粉 1小匙,https://home.meishichina.com/recipe-595236.html
糖不甩,甜味,糯米粉 250g,鸡蛋 1个，花生 1把,黄片糖 适量,https://home.meishichina.com/recipe-596660.html
粤式牛奶炖蛋,甜味,牛奶 适量，鸡蛋 适量,糖 适量,无,https://home.meishichina.com/recipe-594639.html
白切鸡腿,酸辣,鸡大腿 2个，干黑木耳 30克,香葱 2棵，大蒜 2瓣，小米辣 1个，大葱 半棵，姜 1块,酱油 50克，米醋 40克,https://home.meishichina.com/recipe-594033.html
沙姜鸡煲,蒜香,鸡 半只,沙姜 5颗，大蒜 4瓣，葱花 适量，香菜 适量,花生油 1.5大勺，盐 1小勺，蚝油 2大勺，胡椒粉 0.5小勺，生抽 1大勺，老抽 1大勺，沙茶酱 1大勺，料酒 1大勺，生粉 2小勺，糖 2小勺,https://home.meishichina.com/recipe-593825.html
菠萝咕咾肉,酸甜,猪里脊 200克,菠萝 1个,料汁 1碗,https://home.meishichina.com/recipe-593570.html
五指毛桃煲老鸽,咸鲜,老鸽 一只，五指毛桃 适量，排骨 适量,姜片 几片,盐 适量，料酒 适量,https://home.meishichina.com/recipe-592229.html
白灼菜心,清淡,菜心 适量,胡萝卜丝 适量，姜丝 适量，蒸鱼豉油 适量，花椒 适量，玉米油 适量,无,https://home.meishichina.com/recipe-590362.html
下饭菜豉汁排骨,蒜香,排骨 1条,豆豉 2小勺，姜 适量，蒜 4-5瓣,生抽 半小勺，盐 半小勺，生粉 1.5小勺，黑胡椒碎 半小勺，料酒 1小勺，鸡粉 1小勺，有 1小勺,https://home.meishichina.com/recipe-591953.html
简易猪肉肠,咸鲜,猪肉 适量，专用肠粉 适量,生抽 适量，生粉 适量，胡椒粉 适量，香油 适量,盐 适量,https://home.meishichina.com/recipe-590712.html
白菜炒河粉,清淡,白菜 适量，河粉 适量,无,玉米油 3毫升，盐 少许，生抽 3毫升,https://home.meishichina.com/recipe-590740.html
蚝油生菜,清淡,生菜 两颗,蒜瓣 适量,蚝油 适量，酱油 适量,https://home.meishichina.com/recipe-590804.html
广式腊肠煲仔饭,咸鲜,大米 适量，腊肠 5根，腊肉 40克，小油菜 50克，香菇 6朵，鸡蛋 2枚,食用油 3勺,无,https://home.meishichina.com/recipe-590317.html
吃过很多酒楼的白灼菜心，好吃的不多，想要做得好吃方法很讲究,清淡,菜心 适量,大葱丝 10克，大红椒丝 适量,酱油 适量，香油 适量，食用油 适量，糖 适量,https://home.meishichina.com/recipe-590300.html
广式腊味芋头糕,咸鲜,粘米粉 380g，澄粉 70g，拌粉的水 650g，去皮香芋 700g，冬菇 7个，腊肠 2根，腊肉 半根，虾米 半碗，煮芋头的水 800g,油 2大匙，葱 适量,盐 1茶匙，鸡粉 1茶匙，胡椒粉 1茶匙，糖 2茶匙,https://home.meishichina.com/recipe-590273.html
广式脆皮烧肉,五香,五花肉 600克,小葱 2棵，五香粉 1勺，胡椒粉 1勺，白醋 适量，食盐 适量，小苏打 适量,无,https://home.meishichina.com/recipe-590176.html
菜芯肉丝鸡蛋炒河粉,清淡,菜芯 130克，干河粉 85克，鸡蛋 2只，肉丝 80克,蒜末 适量,料酒 适量，盐 适量，酱油 适量，蚝油 适量,https://home.meishichina.com/recipe-589759.html
蚝油生菜,清淡,生菜 300g,蒜末 适量,油 适量，盐 适量，蚝油 适量，水淀粉 适量,https://home.meishichina.com/recipe-589502.html
港式下午茶 爸爸糖吐司的诱惑,奶香,爸爸糖吐司 1整块,黄油 30g，蜂蜜 或糖浆，40g，水果 适量，冰淇淋 适量,无,https://home.meishichina.com/recipe-589420.html
脆皮烧肉,五香,五花肉 适量,葱结 适量，姜片 适量,白胡椒粉 适量，粗盐 适量，小苏打 适量，酸梅酱 适量,https://home.meishichina.com/recipe-588997.html
懒人必备免烤箱10分钟自制吐司西多士港式下午茶,甜味,鲜吐司 适量，鸡蛋 适量，牛奶 适量,草莓 适量，黄油 适量,炼乳 适量，花生酱 适量,https://home.meishichina.com/recipe-588978.html
奶皇包（小朋友的鸡蛋包）,奶香,无,无,无,https://home.meishichina.com/recipe-588669.html
奶黄包,甜味,无,无,无,https://home.meishichina.com/recipe-562614.html
菠萝咕咾肉,酸甜,菠萝 150g，精肉 120g,无,白糖 50g，白醋 小许，食盐 0.5g，番茄沙司 50g,https://home.meishichina.com/recipe-586489.html
纸包骨,蒜香,排骨 1000kg,蒜头 适量,盐 少许，糖 适量，酱油 适量，生粉 少许，蚝油 少许，料酒 少许,https://home.meishichina.com/recipe-586412.html
广东人早餐必备！免揉面！老板！来碗云吞~,咸鲜,胡萝卜汁 85g，中筋面粉 200g，鸡胸肉 半块,香菇 2朵，胡萝卜 半个，大葱 1段，姜 1小块，鸡蛋清 1个，鸡精 1勺，紫菜 少许，榨菜 1小块，香菜 1根,盐 少量，味精 1小勺，十三香 1小勺，蚝油 2滴，色拉油 1大勺，香油 2勺，小葱 1根,https://home.meishichina.com/recipe-585181.html
菠萝咕噜肉,酸甜,鸡胸肉 半块，菠萝 半个,红彩椒 1/2个，绿彩椒 1/2个,盐 少许，淀粉 适量，面粉 适量，胡椒粉 2g，椒盐 2g，鸡蛋 1/2个，玉米油 适量，醋 2滴，生抽 1汤匙，清水 250ml，番茄沙司 50g，料酒 1汤匙,https://home.meishichina.com/recipe-584134.html
鸡蛋肠粉,咸鲜,粘米粉 160克，澄粉 100克，玉米淀粉 40克，清水 600克,鸡蛋 4个，食用油 20克，蚝油 1小勺，酱油 1小勺，辣椒酱 1小勺，葱 5棵，蒜 1头，酸茭头 3个，酸豆角 2根,无,https://home.meishichina.com/recipe-584054.html
懒人叉烧包,其他,无,无,无,https://home.meishichina.com/recipe-580182.html
咸蛋芥菜汤,清淡,芥菜 1把，咸鸭蛋 1个,清水 适量,食用油 少许,https://home.meishichina.com/recipe-582989.html
虎皮凤爪,微辣,鸡爪 650克,无,红油豆瓣酱 适量，生抽 适量，老抽 适量，干辣椒 6个，葱 适量，白芷 少许，八角 适量，香叶 适量，姜 适量,https://home.meishichina.com/recipe-581603.html
鸡肉车仔面,酱香,车仔面 2包，酱料 1包，鸡肉 50g,葱 少许，蒜末 少许,食盐 适量，食用油 适量，酱油 1匙，蚝油 1匙,https://home.meishichina.com/recipe-582427.html
蛋抱萝卜糕,咸香,萝卜糕 适量，鸡蛋 2个,油 1大匙,无,https://home.meishichina.com/recipe-581823.html
广式萝卜糕,咸香,白萝卜 1000g，广式腊肠 2条，干香菇 5朵，干瑶柱 适量，粘米粉 400g,黑胡椒粉 适量,盐 2匙，糖 2匙,https://home.meishichina.com/recipe-581772.html
豉油鸡,咸香,黄毛鸡 1只（2磅）,无,生抽 3勺，老抽 1勺，料酒 2勺，水 3勺，糖 半勺,https://home.meishichina.com/recipe-581140.html
豉汁蒸凤爪,咸鲜,鸡爪 20只,葱 少许，姜 适量，蒜 适量,豆豉 二匙，酱油 一匙，蚝油 一匙，老抽 少许，色拉油 二匙,https://home.meishichina.com/recipe-581201.html
萝卜糕,咸鲜,萝卜 900g,腊肠 两个，虾皮 两匙，粘米粉 400g，土豆淀粉 50g，纯净水 400ml,盐 两匙，白胡椒粉 四匙，蚝油 一匙，鸡粉 一匙,https://home.meishichina.com/recipe-581043.html
粤式枚叉,酱香,枚头肉 约450克,无,无,https://home.meishichina.com/recipe-580843.html
避风塘排骨,蒜香,排骨 500g，面包糠 45g,大葱 1段，姜 3片，蒜 11瓣，玉米淀粉 40g，植物油 半锅,盐 1匙，料酒 1勺，酱油 1勺，蔬之鲜 1匙,https://home.meishichina.com/recipe-580777.html
萝卜糕(家庭版),咸香,白萝卜 3斤，粘米粉 300g，腊肠 1条，腊肉 适量，虾米 适量，干贝 适量,油 适量，胡椒粉 适量，耗油 适量，盐 适量，酱油 适量,白芝麻 适量，葱花 适量,https://home.meishichina.com/recipe-580294.html
